,BYDLISTEK,BYDLISTEN,ESTRANA,JMENO,MANDAT,NSTRANA,PLATNOST_x,POCHLASU,POCPROC,POCPROCVSE,PORADIMAND,PORADINAHR,PORCISLO,POVOLANI,PRIJMENI,PSTRANA,STATOBCAN,TITULPRED,TITULZA,VEK,NAZEVCELK,NAZEV_STRE,PLATNOST_y,POCMANDCR,POCSTRVKO,SLOZENI,STAVREG,VSTRANA,ZKRATKAE30,ZKRATKAE8
0,1,Praha,1,Josef,1,129,0,83828,32.58,32.58,1,0,1,senátor,Zieleniec,99,CZ,Doc. Ing.,CSc.,58,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
1,1,Praha,1,Jana,1,143,0,59282,23.04,23.04,2,0,2,diplomatka,Hybášková,99,CZ,PhDr.,,38,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
2,585513,Napajedla,1,Tomáš,1,129,0,4110,0,1.59,3,0,3,ředitel gymnázia,Zatloukal,99,CZ,Mgr.,,34,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
3,1,Praha,1,Peter,0,143,0,3291,0,1.27,0,1,4,ekonom,Appelt,99,CZ,Dipl. Kauf.,,38,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
4,586846,Jihlava,1,Josef,0,129,0,4212,0,1.63,0,2,5,ředitel st. veterinární správy,Holejšovský,99,CZ,MVDr.,,60,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
5,1,Praha,1,Lukáš,0,143,0,1478,0,.57,0,3,6,politolog.,Macek,99,CZ,,M.A.,28,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
6,590266,Třebíč,1,Marie,0,129,0,1518,0,.59,0,4,7,náměstkyně hejtmana,Černá,129,CZ,Ing.,,47,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
7,500496,Olomouc,1,Jana,0,143,0,4511,0,1.75,0,5,8,rektorka UP Olomouc,Mačáková,99,CZ,prof. MUDr. PhDr.,,61,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
8,562971,Chomutov,1,Přemysl,0,129,0,2049,0,.79,0,6,9,ředitel Zooparku,Rabas,99,CZ,MVDr.,,40,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
9,1,Praha,1,Silvano,0,143,0,420,0,.16,0,7,10,podnikatel,Pedretti,99,FR,,M.A.,39,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
10,2,Plzeň,1,Jiří,0,129,0,1020,0,.39,0,8,11,lékař,Podlipný,99,CZ,MUDr.,,34,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
11,555088,Havířov,1,Jaromír,0,143,0,325,0,.12,0,9,12,výkonný ředitel Svazu zdr.poj.,Gajdáček,99,CZ,Ing.,,45,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
12,599247,Bílovec,1,Sylva,0,129,0,800,0,.31,0,10,13,starostka,Kováčiková,129,CZ,Ing.,,46,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
13,544485,Hluboká nad Vltavou,1,Jan,0,143,0,312,0,.12,0,11,14,lékař,Reban,143,CZ,MUDr.,,64,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
14,2,Plzeň,1,Jiří,0,129,0,870,0,.33,0,12,15,vysokoškolský učitel,Holenda,99,CZ,doc. RNDr.,,71,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
15,4,Ostrava,1,Helena,0,143,0,792,0,.3,0,13,16,lékařka,Fousková,99,CZ,MUDr.,,44,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
16,533165,Kolín,1,Zdenka,0,129,0,165,0,.06,0,14,17,poradce,Majerová,99,CZ,,,55,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
17,4,Ostrava,1,Petr,0,143,0,370,0,.14,0,15,18,právník,Kravčík,99,CZ,Mgr.,,48,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
18,1,Praha,1,Jan,0,129,0,600,0,.23,0,16,19,vysokoškolský učitel,Macek,99,CZ,prof. Ing.,DrSc.,55,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
19,540765,Mníšek pod Brdy,1,Eva,0,143,0,64,0,.02,0,17,20,auditorka,Hochheimerová,143,CZ,,M.A.,55,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
20,580511,Lanškroun,1,Ivan,0,129,0,100,0,.03,0,18,21,ředitel úřadu,Týče,99,CZ,MUDr.,,52,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
21,511382,Přerov,1,Martin,0,143,0,179,0,.06,0,19,22,student,Habáň,143,CZ,,,22,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
22,598810,Třinec,1,Věra,0,129,0,808,0,.31,0,20,23,místostarostka,Palkovská,129,CZ,RNDr.,,41,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
23,1,Praha,1,Jan,0,143,0,9490,0,3.68,0,21,24,architekt,Kasl,143,CZ,Ing. arch.,,52,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
24,562335,Děčín,1,Milan,0,129,0,227,0,.08,0,22,25,manažer,Kunc,99,CZ,Ing.,,38,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
25,1,Praha,1,Milan,0,143,0,375,0,.14,0,23,26,dětský lékař,Kudyn,99,CZ,MUDr.,,55,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
26,576069,Rychnov nad Kněžnou,1,Petr,0,129,0,167,0,.06,0,24,27,ředitel odboru úřadu,Narwa,99,CZ,,,48,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
27,1,Praha,1,Markéta,0,143,0,329,0,.12,0,25,28,novinářka,Reedová,143,CZ,,,35,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
28,577197,Jilemnice,1,Václav,0,129,0,165,0,.06,0,26,29,místostarosta,Hartman,129,CZ,PaedDr.,,51,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
29,1,Praha,1,Milan,0,143,0,100,0,.03,0,27,30,architekt,Urban,143,CZ,Ing.,Dr.,44,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
30,565091,Kyškovice,1,Jaroslav,0,129,0,80,0,.03,0,28,31,tajemník ASZ ČR,Šebek,129,CZ,Ing.,,30,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
31,585980,Vysoké Pole,1,Stanislav,0,143,0,309,0,.12,0,29,32,právník,Polčák,143,CZ,JUDr.,,24,SNK sdružení nezávislých a Evropští demokraté,SNK sdružení nezávislých a Evropští demokraté,0,3,2,"129,143",0,311,SNK sdruž.nez. a Evropští dem.,SNK-ED
32,1,Praha,2,Václav,0,55,0,303,0,0,0,0,1,majitel cestovní agentury,Srb,55,CZ,,,46,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monar.strana Čech, Moravy a Slezska)",0,0,1,055,0,55,Koruna Česká (monarch.strana),KČ
33,576301,Doudleby nad Orlicí,2,Adam,0,55,0,472,0,0,0,0,2,podnikatel,Bubna-Litic,99,CZ,,,76,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monar.strana Čech, Moravy a Slezska)",0,0,1,055,0,55,Koruna Česká (monarch.strana),KČ
34,3,Brno,2,Pavel,0,55,0,210,0,0,0,0,3,učitel na CM církevní ZŠ,Macků,55,CZ,Mgr.,,40,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monar.strana Čech, Moravy a Slezska)",0,0,1,055,0,55,Koruna Česká (monarch.strana),KČ
35,511382,Přerov,2,Petr,0,55,0,112,0,0,0,0,4,pořadatel výchovných koncertů,Nohel,55,CZ,Bc. et Bc.,,25,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monar.strana Čech, Moravy a Slezska)",0,0,1,055,0,55,Koruna Česká (monarch.strana),KČ
36,1,Praha,2,Marek,0,55,0,76,0,0,0,0,5,sportovní manažer a promotér,Janeček,99,CZ,,,32,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monar.strana Čech, Moravy a Slezska)",0,0,1,055,0,55,Koruna Česká (monarch.strana),KČ
37,1,Praha,2,Milan,0,55,0,122,0,0,0,0,6,hudebník,Schelinger,55,CZ,,,52,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monar.strana Čech, Moravy a Slezska)",0,0,1,055,0,55,Koruna Česká (monarch.strana),KČ
38,582239,Rájec-Jestřebí,2,Marie,0,55,0,315,0,0,0,0,7,podnikatelka,Salm-Reifferscheidt-Raitzová,55,CZ,,,72,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monar.strana Čech, Moravy a Slezska)",0,0,1,055,0,55,Koruna Česká (monarch.strana),KČ
39,1,Praha,2,Jaroslav,0,55,0,59,0,0,0,0,8,"etnolog, novinář a spisovatel",Volný,99,CZ,Mgr.,,48,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monar.strana Čech, Moravy a Slezska)",0,0,1,055,0,55,Koruna Česká (monarch.strana),KČ
40,3,Brno,2,Tereza,0,55,0,133,0,0,0,0,9,překladatelka,Skříšovská,99,CZ,,,25,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monar.strana Čech, Moravy a Slezska)",0,0,1,055,0,55,Koruna Česká (monarch.strana),KČ
41,1,Praha,2,Jaromír,0,55,0,159,0,0,0,0,10,historik a soudní znalec,Stach,55,CZ,JUDr. et PhDr.,,55,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monar.strana Čech, Moravy a Slezska)",0,0,1,055,0,55,Koruna Česká (monarch.strana),KČ
42,1,Praha,2,Giuseppe,0,55,0,67,0,0,0,0,11,odb. asistent na FF UK,Maiello,99,IT,,PhD.,42,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monar.strana Čech, Moravy a Slezska)",0,0,1,055,0,55,Koruna Česká (monarch.strana),KČ
43,1,Praha,2,Ivan,0,55,0,30,0,0,0,0,12,překladatel a průvodce,Henn,99,CZ,Mgr.,,50,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monar.strana Čech, Moravy a Slezska)",0,0,1,055,0,55,Koruna Česká (monarch.strana),KČ
44,1,Praha,2,Tomáš,0,55,0,71,0,0,0,0,13,advokát,Kordač,55,CZ,JUDr.,,38,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monar.strana Čech, Moravy a Slezska)",0,0,1,055,0,55,Koruna Česká (monarch.strana),KČ
45,1,Praha,2,Stanislav,0,55,0,46,0,0,0,0,14,hudební skladatel,Jelínek,55,CZ,Mgr.,,59,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monar.strana Čech, Moravy a Slezska)",0,0,1,055,0,55,Koruna Česká (monarch.strana),KČ
46,1,Praha,2,Vladimír,0,55,0,87,0,0,0,0,15,lékař - chirurg,Němec,55,CZ,MUDr.,,48,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monar.strana Čech, Moravy a Slezska)",0,0,1,055,0,55,Koruna Česká (monarch.strana),KČ
47,586757,Vnorovy,2,Jiří,0,55,0,56,0,0,0,0,16,soukromý veterinář,Čížek,55,CZ,MVDr.,,46,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monar.strana Čech, Moravy a Slezska)",0,0,1,055,0,55,Koruna Česká (monarch.strana),KČ
48,4,Ostrava,2,David,0,55,0,47,0,0,0,0,17,PC grafik,Hibsch,55,CZ,,,33,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monar.strana Čech, Moravy a Slezska)",0,0,1,055,0,55,Koruna Česká (monarch.strana),KČ
49,4,Ostrava,2,Sebastián,0,55,0,44,0,0,0,0,18,příslušník jízd. oddílu MP,Flajšer,55,CZ,,,35,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monar.strana Čech, Moravy a Slezska)",0,0,1,055,0,55,Koruna Česká (monarch.strana),KČ
50,553735,Chodov,2,Pavel,0,55,0,45,0,0,0,0,19,"etnolog, zaměstnanec stát.spr.",Vaculík,55,CZ,Mgr.,,31,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monar.strana Čech, Moravy a Slezska)",0,0,1,055,0,55,Koruna Česká (monarch.strana),KČ
51,539686,Statenice,2,Václav,0,55,0,10,0,0,0,0,20,ekonom-projektový manažer,Makrlík,55,CZ,Ing.,,60,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monar.strana Čech, Moravy a Slezska)",0,0,1,055,0,55,Koruna Česká (monarch.strana),KČ
52,3,Brno,2,Eva,0,55,0,6,0,0,0,0,21,poštovní úřednice,Fuxová,55,CZ,,,46,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monar.strana Čech, Moravy a Slezska)",0,0,1,055,0,55,Koruna Česká (monarch.strana),KČ
53,1,Praha,2,Vít,0,55,0,14,0,0,0,0,22,lékař-rentgenolog,Kubias,55,CZ,MUDr.,,54,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monar.strana Čech, Moravy a Slezska)",0,0,1,055,0,55,Koruna Česká (monarch.strana),KČ
