,BYDLISTEK,BYDLISTEN,ESTRANA,JMENO,NSTRANA,PLATNOST_x,PORCISLO,POVOLANI,PRIJMENI,PSTRANA,STATOBCAN,TITULPRED,TITULZA,VEK,NAZEVCELK,NAZEVPLNY,NAZEV_STRE,PLATNOST_y,POCMANDCR,POCSTRVKO,SLOZENI,STAVREG,VSTRANA,ZKRATKAE30,ZKRATKAE8
0,1,Praha,1,Daniel,129,0,1,vysokoškolský učitel,Kroupa,99,CZ,Mgr.,Ph.D.,65,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
1,1,Praha,1,Olga,129,0,2,"proj. manažerka, zastupitelka",Sedláčková,129,CZ,Mgr.,MBA,51,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
2,545252,Zubří,1,Radoslav,129,0,3,náměstek odborn. útvaru muzea,Vlk,129,CZ,Mgr.,Ph.D.,39,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
3,539333,Jílové u Prahy,1,Květa,129,0,4,starostka,Halanová,129,CZ,Mgr.,,55,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
4,1,Praha,1,Jiří,129,0,5,vysokoškolský učitel,Witzany,129,CZ,Doc. RNDr.,Ph.D.,48,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
5,6,Pardubice,1,René,129,0,6,radní Pardubického kraje,Živný,129,CZ,,,40,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
6,597988,Zátor,1,Salome,129,0,7,starostka,Sýkorová,129,CZ,Ing.,,50,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
7,576794,Sněžné,1,Stanislav,129,0,8,ředitel odd.nemovitostí pro ČR,Dvořák,99,CZ,Bc.,DiS.,32,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
8,531723,Rudná,1,František,129,0,9,odborník na kriz. komunikaci,Novotný,99,CZ,PhDr.,,70,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
9,584975,Valtice,1,Dalibor,129,0,10,vedoucí tech. služeb města,Neděla,129,CZ,Ing.,,43,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
