,VOLKRAJ,KSTRANA,PORCISLO,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST_x,POCHLASU,POCPROC,POCPROCVSE,MANDAT,PORADIMAND,PORADINAHR,VSTRANA,NAZEVCELK,NAZEV_STRK,ZKRATKAK30,ZKRATKAK8,POCSTRVKO,SLOZENI,STAVREG,PLATNOST_y,SLOZNEPLAT,POCMANDAT
0,14,6,1,František,Zwyrtek,,,45,předseda hnutí,Český Těšín,598933,88,88,0,120,0.0,2.86,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
1,14,6,2,Vladimír,Mach,RNDr.,,63,středoškolský profesor,Havířov,555088,99,88,0,93,0.0,2.21,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
2,14,6,3,Zdeněk,Stolař,PhDr.,,51,psycholog,Frýdek-Místek,598003,88,88,0,137,0.0,3.26,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
3,14,6,4,Alena,Hasáková,PhDr.,,51,středoškolský profesor,Český Těšín,598933,99,88,0,124,0.0,2.95,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
4,14,6,5,Alois,Čtvrtníček,Ing.,CSc.,60,podnikatel,Bruntál,597180,99,88,0,35,0.0,0.83,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
5,14,6,6,Hana,Doležalová,Mgr.,,33,učitelka,Ostrava,4,99,88,0,81,0.0,1.93,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
6,14,6,7,Václav,Kafka,Doc. Ing.,CSc.,63,výzkumný pracovník,Orlová,599069,88,88,0,76,0.0,1.81,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
7,14,6,8,Libuše,Koppová,,,59,zdravotní sestra,Třinec,598810,88,88,0,95,0.0,2.26,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
8,14,6,9,Alexander,Nedbálek,MUDr.,,51,lékař,Havířov,555088,99,88,0,48,0.0,1.14,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
9,14,6,10,Jan,Fismol,Bc.,,59,místostarosta,Dolní Lutyně,598968,88,88,0,56,0.0,1.33,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
10,14,6,11,Ivan,Hronec,,,61,důchodce Policie ČR,Bruntál,597180,88,88,0,38,0.0,0.9,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
11,14,6,12,Edita,Mietlová,Ing.,,38,manažerka,Ostrava,4,99,88,0,40,0.0,0.95,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
12,14,6,13,Milan,Pecka,PaedDr.,,60,ředitel školy,Český Těšín,598933,88,88,0,101,0.0,2.41,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
13,14,6,14,Tereza,Kafková,Ing.,,28,manažerka,Ostrava,4,99,88,0,35,0.0,0.83,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
14,14,6,15,Ivo,Polášek,Ing.,,51,vedoucí trenér,Havířov,555088,88,88,0,29,0.0,0.69,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
15,14,6,16,Otto,Ďurica,Ing.,,39,ekonomický konzultant,Bruntál,597180,99,88,0,24,0.0,0.57,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
16,14,6,17,Hana,Rettová,Mgr.,,50,ředitelka školy,Havířov,555088,99,88,0,28,0.0,0.66,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
17,14,6,18,Tomáš,Krtek,Ing.,,37,technik,Frýdek-Místek,598003,88,88,0,52,0.0,1.24,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
18,14,6,19,Miroslav,Zajíček,MUDr.,,57,lékař,Petřvald,599085,99,88,0,44,0.0,1.05,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
19,14,6,20,Petr,Sobol,Mgr.,,45,pedagog,Orlová,599069,88,88,0,23,0.0,0.54,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
20,14,6,21,Daniel,Makay,,,38,podnikatel,Bruntál,597180,88,88,0,24,0.0,0.57,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
21,14,6,22,Svatava,Horáčková,,,54,kulturní pracovník,Orlová,599069,88,88,0,27,0.0,0.64,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
22,14,6,23,Petr,Jonas,Ing.,,43,manažer,Frýdek-Místek,598003,88,88,0,14,0.0,0.33,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
23,14,6,24,Jiří,Mietla,Ing.,,40,finanční poradce,Ostrava,4,99,88,0,22,0.0,0.52,0,0,0,88,NEZÁVISLÍ,NEZÁVISLÍ,NEZÁVISLÍ,NEZ,1,088,00000000000000,0,,0
