,VOLKRAJ,KSTRANA,PORCISLO,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST_x,POCHLASU,POCPROC,POCPROCVSE,MANDAT,PORADIMAND,PORADINAHR,VSTRANA,NAZEVCELK,NAZEV_STRK,ZKRATKAK30,ZKRATKAK8,POCSTRVKO,SLOZENI,STAVREG,PLATNOST_y,SLOZNEPLAT,POCMANDCR
0,2,13,27,Marie,Zvolánková,,,48.0,v domácnosti,Kostelec nad Černými Lesy,533416.0,724.0,724.0,0,166,0.0,0.71,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
1,2,13,28,Tomáš,Vorlíček,,,27.0,dělník,Hovorčovice,538230.0,724.0,724.0,0,311,0.0,1.33,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
2,2,13,29,Petr,Šedivý,JUDr.,,45.0,advokát,Praha,1.0,724.0,724.0,0,492,0.0,2.11,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
3,2,13,30,Lubomír,Šmehlík,Ing.,,59.0,OSVČ,Slaný,532819.0,724.0,724.0,0,208,0.0,0.89,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
4,2,13,31,Adam,Robenek,,,28.0,kuchař,Kladno,532053.0,724.0,724.0,0,465,0.0,2.0,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
5,2,13,32,Hana,Krčilová,Mgr.,,47.0,učitelka,Praha,1.0,724.0,724.0,0,256,0.0,1.1,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
6,2,13,33,Jaroslav,Sokol,,,25.0,IT specialista,Říčany,538728.0,724.0,724.0,0,237,0.0,1.02,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
7,2,13,34,Andrea,Vejběrová,JUDr.,,27.0,advokátka,Hradec Králové,569810.0,724.0,724.0,0,368,0.0,1.58,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
8,11,13,1,Marian,Keremidský,Mgr.,,41.0,místostarosta města Znojmo,Znojmo,593711.0,724.0,724.0,0,846,0.0,3.35,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
9,11,13,2,Petr,Krejčí,Mgr.,,59.0,podnikatel,Brno,3.0,724.0,724.0,0,532,0.0,2.1,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
10,11,13,3,Vladimír,Najda,Ing.,,43.0,technik,Vranovská Ves,595101.0,724.0,724.0,0,517,0.0,2.05,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
11,11,13,4,Richard,Němec,,,39.0,podnikatel,Brno,3.0,724.0,724.0,0,473,0.0,1.87,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
12,11,13,5,Lukáš,Řihák,Ing.,,26.0,nezaměstnaný,Skoronice,586544.0,724.0,724.0,0,429,0.0,1.7,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
13,11,13,6,Jana,Potužníková,,,49.0,v domácnosti,Moravský Písek,586404.0,724.0,724.0,0,426,0.0,1.68,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
14,11,13,7,Miloslav,Šale,Bc.,,55.0,manažer,Břeclav,584291.0,724.0,724.0,0,251,0.0,0.99,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
15,11,13,8,Ivan,Kocka,MUDr.,,63.0,živnostník,Kyjov,586307.0,724.0,724.0,0,359,0.0,1.42,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
16,11,13,9,Milan,Šimon,Ing.,,50.0,zaměstnanec ve veřej. sektoru,Brno,3.0,724.0,724.0,0,292,0.0,1.15,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
17,11,13,10,Jana,Zemánková,,,37.0,prodavačka,Boskovice,581372.0,724.0,724.0,0,663,0.0,2.62,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
18,11,13,11,Vítězslav,Herosch,Mgr.,,46.0,státní zaměstnanec,Brno,3.0,724.0,724.0,0,284,0.0,1.12,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
19,11,13,12,Ivan,Pecl,,,42.0,zaměstnanec soukromé firmy,Vyškov,592889.0,724.0,724.0,0,251,0.0,0.99,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
20,11,13,13,Ladislav,Zapletal,Doc. PhDr.,CSc.,64.0,školství,Brno,3.0,724.0,724.0,0,600,0.0,2.37,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
21,11,13,14,Milan,Foltýn,RNDr.,,67.0,důchodce,Hodonín,586021.0,724.0,724.0,0,228,0.0,0.9,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
22,11,13,15,Jaroslav,Červinka,Ing.,,66.0,"věda, výzkum, kultura, média",Praha,1.0,724.0,724.0,0,214,0.0,0.84,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
23,11,13,16,Petr,Olšan,,,40.0,"manažer, podnikatel",Brno,3.0,724.0,724.0,0,275,0.0,1.09,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
24,11,13,17,Vojtěch,Horehleď,Ing.,,66.0,živnostník,Skoronice,586544.0,724.0,724.0,0,148,0.0,0.58,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
25,11,13,18,Vlastimil,Plášek,,,23.0,společník soukromé firmy,Lopeník,592340.0,724.0,724.0,0,175,0.0,0.69,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
26,11,13,19,Michal,Tofl,Ing.,,46.0,podnikatel,Brno,3.0,724.0,724.0,0,233,0.0,0.92,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
27,11,13,20,Jan,Došek,Ing.,MBA,35.0,společník firmy,Blansko,581283.0,724.0,724.0,0,378,0.0,1.49,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
28,11,13,21,Rudolf,Bauer,,,58.0,"živnostník, podnikatel",Strážnice,586587.0,724.0,724.0,0,303,0.0,1.2,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
29,11,13,22,Karel,Longaver,JUDr.,,62.0,podnikatel,Kyjov,586307.0,724.0,724.0,0,341,0.0,1.35,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
30,11,13,23,Jaroslav,Nezveda,Ing.,,54.0,manažer,Žerotice,595187.0,724.0,724.0,0,311,0.0,1.23,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
31,11,13,24,Lubomír,Zvonek,,,35.0,živnostník,Břeclav,584291.0,724.0,724.0,0,534,0.0,2.11,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
32,11,13,25,Vendelín,Pejko,,,42.0,zaměstnanec soukromé firmy,Břeclav,584291.0,724.0,724.0,0,50,0.0,0.19,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
33,11,13,26,Michal,Koska,,,34.0,podnikatel,Znojmo,593711.0,724.0,724.0,0,70,0.0,0.27,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
34,11,13,27,Peter,Komosný,,,38.0,zaměstn.podniku se stát.účastí,Břeclav,584291.0,724.0,724.0,0,44,0.0,0.17,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
35,11,13,28,Alena,Sýkorová,Mgr.,,33.0,zaměstnanec soukromé firmy,Brno,3.0,724.0,724.0,0,163,0.0,0.64,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
36,11,13,29,Pavel,Svoboda,,MSc.,53.0,zaměstnanec soukromé firmy,Ořechov,583561.0,724.0,724.0,0,29,0.0,0.11,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
37,11,13,30,Josef,Tobiška,JUDr.,,56.0,justice,Brno,3.0,724.0,724.0,0,119,0.0,0.47,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
38,11,13,31,Milan,Hloušek,Ing.,,49.0,živnostník,Brno,3.0,724.0,724.0,0,118,0.0,0.46,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
39,11,13,32,Vojtěch,Rada,Bc.,,23.0,student,Boskovštejn,593818.0,724.0,724.0,0,194,0.0,0.76,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
40,11,13,33,Jiří,Sedlák,,,64.0,zdravotnictví,Znojmo,593711.0,724.0,724.0,0,171,0.0,0.67,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
41,11,13,34,Jiří,Svoboda,,,47.0,podnikatel,Brno,3.0,724.0,724.0,0,158,0.0,0.62,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
42,12,13,1,Radek,Augustin,Mgr.,,33.0,projektový manažer,Olomouc,500496.0,724.0,724.0,0,832,0.0,5.75,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
43,12,13,2,Josef,Dušek,PhDr.,,62.0,ex-ředitel Lázní Slatinice,Praha,1.0,724.0,724.0,0,325,0.0,2.24,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
44,12,13,3,Radek,Pospíšilík,,,41.0,podnikatel,Přerov,511382.0,724.0,724.0,0,388,0.0,2.68,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
45,12,13,4,Martin,Filgas,Ing.,,29.0,podnikatel,Vidnava,541303.0,724.0,724.0,0,349,0.0,2.41,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
46,12,13,5,Petr,Vejbor,Mgr.,,28.0,manažer,Olomouc,500496.0,724.0,724.0,0,343,0.0,2.37,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
47,12,13,6,Jan,Jureček,Bc.,,29.0,podnikatel,Loučná nad Desnou,540226.0,724.0,724.0,0,186,0.0,1.28,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
48,12,13,7,Michael,Syrový,,,28.0,podnikatel,Držovice,558419.0,724.0,724.0,0,168,0.0,1.16,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
49,12,13,8,Zdeněk,Polách,Mgr. Ing.,,41.0,podnikatel,Velká Bystřice,505609.0,724.0,724.0,0,184,0.0,1.27,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
50,12,13,9,Andrea,Rašková,Ing.,,40.0,učitelka,Rokytnice,517607.0,724.0,724.0,0,485,0.0,3.35,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
51,12,13,10,Jeroným,Motyka,,,57.0,důchodce,Olomouc,500496.0,724.0,724.0,0,166,0.0,1.14,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
52,12,13,11,Roman,Skalický,Mgr.,,31.0,manažer,Přerov,511382.0,724.0,724.0,0,274,0.0,1.89,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
53,12,13,12,Josef,Bartošek,,,49.0,montér,Hranice,513750.0,724.0,724.0,0,297,0.0,2.05,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
54,12,13,13,Emil,Varsík,,,52.0,podnikatel,Jeseník,536385.0,724.0,724.0,0,176,0.0,1.21,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
55,12,13,14,Jaroslav,Vosádka,,,30.0,realitní makléř,Šumperk,523704.0,724.0,724.0,0,125,0.0,0.86,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
56,12,13,15,Renata,Kopečná,,,23.0,studentka,Čelechovice na Hané,589403.0,724.0,724.0,0,356,0.0,2.46,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
57,12,13,16,Vít,Hala,Mgr.,,40.0,učitel,Přerov,511382.0,724.0,724.0,0,370,0.0,2.55,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
58,12,13,17,Taťjána,Žondrová,MUDr.,,64.0,lékařka,Olomouc,500496.0,724.0,724.0,0,413,0.0,2.85,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
59,12,13,18,Libor,Brzobohatý,Bc.,,39.0,manažer,Postřelmov,540773.0,724.0,724.0,0,126,0.0,0.87,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
60,12,13,19,Jan,Dobeš,Ing. arch.,,52.0,architekt,Olomouc,500496.0,724.0,724.0,0,337,0.0,2.33,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
61,12,13,20,Michal,Borůvka,,,28.0,podnikatel,Prostějov,589250.0,724.0,724.0,0,376,0.0,2.6,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
62,12,13,21,Petr,Pospíšil,Bc.,,52.0,státní zaměstnanec,Jeseník,536385.0,724.0,724.0,0,382,0.0,2.64,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
63,12,13,22,Svatopluk,Ordelt,RNDr.,CSc.,60.0,učitel,Olomouc,500496.0,724.0,724.0,0,496,0.0,3.43,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
64,12,13,23,Jan,Fojtík,,,28.0,podnikatel,Dub nad Moravou,501794.0,724.0,724.0,0,383,0.0,2.64,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
65,14,13,8,Jan,Kovařík,,,37.0,podnikatel,Bruntál,597180.0,724.0,724.0,0,234,0.0,0.89,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
66,14,13,9,Eva,Holubová,RNDr.,,54.0,manažerka - zdravotnictví,Český Těšín,598933.0,724.0,724.0,0,581,0.0,2.21,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
67,14,13,10,Přemysl,Kovář,Ing.,,50.0,manažer,Ostrava,4.0,724.0,724.0,0,233,0.0,0.88,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
68,14,13,11,Michal,Cagala,Ing.,,32.0,akademický pracovník,Ostrava,4.0,724.0,724.0,0,320,0.0,1.21,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
69,14,13,12,Vojtěch,Petrovský,Ing.,,49.0,OSVČ,Havířov,555088.0,724.0,724.0,0,363,0.0,1.38,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
70,14,13,13,Radim,Kocich,Ing.,Ph.D.,34.0,vysokoškolský pedagog,Nošovice,552518.0,724.0,724.0,0,509,0.0,1.93,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
71,14,13,14,Pavla,Zichová,Ing.,,45.0,zaměstnankyně veřejné správy,Ostrava,4.0,724.0,724.0,0,256,0.0,0.97,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
72,14,13,15,Mario,Boubeníček,,,47.0,OSVČ,Opava,505927.0,724.0,724.0,0,211,0.0,0.8,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
73,14,13,16,Jiří,Číp,,,56.0,manažer,Vratimov,598879.0,724.0,724.0,0,85,0.0,0.32,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
74,14,13,17,Jaroslav,Pantlík,Ing.,,57.0,manažer,Vrbno pod Pradědem,597961.0,724.0,724.0,0,111,0.0,0.42,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
75,14,13,18,Jiří,Lachnit,Ing.,,69.0,důchodce,Ostrava,4.0,724.0,724.0,0,147,0.0,0.55,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
76,14,13,19,Zdeňka,Popková,,,53.0,manažerka,Ostrava,4.0,724.0,724.0,0,110,0.0,0.41,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
77,14,13,20,Jozef,Migaš,,,47.0,manažer,Opava,505927.0,724.0,724.0,0,161,0.0,0.61,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
78,14,13,21,Zuzana,Klečková,Doc. Ing.,CSc.,62.0,vysokoškolská pedagožka,Ostrava,4.0,724.0,724.0,0,498,0.0,1.89,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
79,14,13,22,Marcel,Jelínek,Bc.,,45.0,podnikatel,Havířov,555088.0,724.0,724.0,0,184,0.0,0.69,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
80,14,13,23,Zdeněk,Cagala,,,55.0,manažer,Ostrava,4.0,724.0,724.0,0,71,0.0,0.27,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
81,14,13,24,Adéla,Macháčková,Doc. Ing.,Ph.D.,38.0,vysokoškolská pedagožka,Ostrava,4.0,724.0,724.0,0,739,0.0,2.81,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
82,14,13,25,Petr,Šainar,,,42.0,zaměstnanec soukromé firmy,Ostrava,4.0,724.0,724.0,0,221,0.0,0.84,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
83,14,13,26,Roman,Przybyla,Ing.,,39.0,manažer - energetika,Stonava,599140.0,724.0,724.0,0,236,0.0,0.89,0,0,0,724,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,Strana Práv Občanů ZEMANOVCI,SPOZ,1,724,00000000000000,0,,0.0
