,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,POHLAVI,NAZEV_VS
0,80,1,792,Pavel,Talaš,MUDr.,,68,lékař,Napajedla,585513,99,792,0,2967,12.92,12.92641484773232,0,0,0,0.0,0.0,0,0,,Úsvit přímé demokracie Tomia Okamury
1,80,2,88,Jana,Juřenčáková,Ing.,,51,"daňový poradce, předs. SMS ČR",Rokytnice,556980,99,88,0,2949,12.84,12.84799372631028,0,0,0,0.0,0.0,0,0,,NEZÁVISLÍ
2,80,3,47,Radomír,Rafaja,,,69,pracovník v pohostinství,Zlín,585068,47,47,0,1686,7.34,7.34544503986407,0,0,0,0.0,0.0,0,0,,Komunistická strana Čech a Moravy
3,80,4,720,Luděk,Maděra,Ing.,,70,IT v důchodu,Zlín,585068,99,720,0,359,1.56,1.56406569947283,0,0,0,0.0,0.0,0,0,,Česká pirátská strana
4,80,5,53,Libor,Lukáš,,,52,stavební technik,Pitín,592498,53,53,0,3792,16.52,16.52071624624232,2,0,5925,36.83,36.83327116747482,0,0,,Občanská demokratická strana
5,80,6,1,Patrik,Kunčar,Bc.,,40,starosta,Uherský Brod,592731,1,1,0,5363,23.36,23.36513745479893,2,0,10161,63.16,63.16672883252517,1,0,,Křesťan.a demokrat.unie-Českosl.strana lidová
6,80,7,643,Zuzana,Zdráhalová Lapčíková,Mgr.,,45,"hudebnice, pedagožka",Topolná,592692,99,166,0,1613,7.02,7.02740382520803,0,0,0,0.0,0.0,0,0,,STAROSTOVÉ A NEZÁVISLÍ a Zlínské hnutí nezávislých
7,80,8,714,Jiří,Remeš,,,45,"OSVČ, realitní činnost",Otrokovice,585599,714,714,0,529,2.3,2.30470962401429,0,0,0,0.0,0.0,0,0,,Strana svobodných občanů
8,80,9,7,Milena,Kovaříková,Mgr.,,55,předs. Výboru Zastup.ZL kraje,Brumov-Bylnice,585114,7,7,0,3695,16.09,16.0981135363569,0,0,0,0.0,0.0,0,0,,Česká strana sociálně demokratická
9,80,10,2,Anna,Grabowská,,,54,expert ručního písma,Praha 1,500054,2,2,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,,Česká strana národně sociální
