,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,POHLAVI,NAZEV_VS
0,22,1,227,Ivana,Cabrnochová,,,40,"Místostarostka MČ P-10, pedagog zdrav. postižených",Praha 10,500224,5,5,0,2092,15.83,15.83289184893665,2,0,3664,50.91,50.917176209005,1,0,,Koalice SZ a ČSSD
1,22,2,714,Jiří,Payne,RNDr.,,58,jaderný fyzik,Praha,1,714,714,0,977,7.39,7.39423295239536,0,0,0,0.0,0.0,0,0,,Strana svobodných občanů
2,22,3,53,Oldřich,Choděra,JUDr. PhDr.,,65,advokát,Praha 10,500224,53,53,0,1564,11.83,11.83682736698705,0,0,0,0.0,0.0,0,0,,Občanská demokratická strana
3,22,4,1094,Lubomír,Chudoba,PharmDr.,,51,"lékárník, prezident České lékárnické komory",Praha,1,99,1,0,1293,9.78,9.78581699841065,0,0,0,0.0,0.0,0,0,,VLASTA na radnici - Chudoba do Senátu
4,22,5,659,Renata,Sabongui,Mgr.,,54,"VŠ pedagog, dříve vedoucí zahr. odd. Nár. divadla",Praha,1,99,721,0,2055,15.55,15.55286460304245,0,0,0,0.0,0.0,0,0,,TOP 09 a Starostové
5,22,6,47,Milan,Neubert,RNDr.,,59,ředitel výzkumné organizace,Praha,1,74,47,0,954,7.22,7.22016196170438,0,0,0,0.0,0.0,0,0,,Komunistická strana Čech a Moravy
6,22,7,759,Pavel,Jánský,,,67,ekonom,Praha,1,99,759,0,43,0.32,0.32543706955271,0,0,0,0.0,0.0,0,0,,Česká Suverenita
7,22,8,1043,Antonín,Panenka,,,65,fotbalový internacionál,Nespeky,530263,99,1043,0,1776,13.44,13.44130780292136,0,0,0,0.0,0.0,0,0,,NEZÁVISLÍ PRO PRAHU 10 - HNUTÍ PRO LEPŠÍ DESÍTKU
8,22,9,787,Miroslav,Kos,Ing.,,52,živnostník,Praha 10,500224,99,787,0,399,3.01,3.01975327329145,0,0,0,0.0,0.0,0,0,,Sdružení nezávislých občanů Prahy 13
9,22,10,768,Jana,Dušková,prof. MUDr.,"DrSc., MBA",61,VŠ učitel,Praha 10,500224,99,768,0,2060,15.59,15.59070612275788,2,0,3532,49.08,49.08282379099499,0,0,,ANO 2011
