,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,POHLAVI,NAZEV_VS
0,3,1,724,Jaroslav,Bradáč,Ing.,,59,technik,Skalná,554812,724,724,0,1092,3.53,3.53203739043244,0,0,0,0.0,0.0,0,0,,Strana Práv Občanů
1,3,2,768,Jiří,Dufka,Ing.,,53,zemědělský podnikatel,Chodský Újezd,560910,768,768,0,6759,21.86,21.86175890286897,2,0,5336,44.64,44.64524765729585,0,0,,ANO 2011
2,3,3,714,Václav,Jakl,Ing.,,59,"živnostník - reklama, propagace, DTP",Cheb,554481,714,714,0,1529,4.94,4.94549923990037,0,0,0,0.0,0.0,0,0,,Strana svobodných občanů
3,3,4,47,Pavel,Hojda,Ing.,,61,oborový specialista,Cheb,554481,47,47,0,4379,14.16,14.16372869295209,0,0,0,0.0,0.0,0,0,,Komunistická strana Čech a Moravy
4,3,5,720,Libor,Špaček,,"BSc.,MSc.,Ph.D.",62,vysokoškolský vědecký pracovník,Prostiboř,541486,720,720,0,1821,5.88,5.88996345052883,0,0,0,0.0,0.0,0,0,,Česká pirátská strana
5,3,6,659,Vítězslav,Padevět,RNDr.,,56,ředitel firmy,Velká Hleďsebe,539279,721,721,0,2181,7.05,7.05437138144063,0,0,0,0.0,0.0,0,0,,TOP 09 a Starostové
6,3,7,7,Miroslav,Nenutil,Mgr.,,56,senátor,Stříbro,561215,7,7,0,8784,28.41,28.41155351424782,2,0,6616,55.35,55.35475234270414,1,0,,Česká strana sociálně demokratická
7,3,8,53,Jaroslav,Kočvara,RNDr. Ing.,,59,ředitel gymnázia,Cheb,554481,53,53,0,4372,14.14,14.14108742762881,0,0,0,0.0,0.0,0,0,,Občanská demokratická strana
8,6,1,47,Eva,Kašová,MUDr.,,62,lékařka,Rakovník,541656,99,47,0,6116,14.76,14.76652663093341,0,0,0,0.0,0.0,0,0,,Komunistická strana Čech a Moravy
9,6,2,80,Jiří,Loskot,,,58,"podnikatel, předseda Svazku obcí",Mšec,542105,166,80,0,1819,4.39,4.39181032401371,0,0,0,0.0,0.0,0,0,,Nezávislí kandidáti
10,6,3,768,Zdeňka,Hamousová,Mgr.,,53,starostka města Žatec,Žatec,566985,99,768,0,10685,25.79,25.7979622386402,2,0,10837,52.31,52.31979915994785,1,0,,ANO 2011
11,6,4,1036,Ivo,Trešl,MUDr.,,42,chirurg - traumatolog,Rakovník,541656,1036,1036,0,3945,9.52,9.52484427060698,0,0,0,0.0,0.0,0,0,,Město pro vás
12,6,5,1077,Leo,Steiner,Mgr.,,43,"učitel, manažer",Louny,565971,99,1,0,2278,5.5,5.50002414409194,0,0,0,0.0,0.0,0,0,,Pro! Leo
13,6,6,88,Vladimír,Záhorský,MUDr.,,61,dětský lékař,Podbořany,566616,99,88,0,1306,3.15,3.15321840745569,0,0,0,0.0,0.0,0,0,,NEZÁVISLÍ
14,6,7,7,Marcel,Chládek,PhDr.,MBA,46,senátor,Rakovník,541656,7,7,0,11134,26.88,26.88203196677772,2,0,9876,47.68,47.68020084005214,0,0,,Česká strana sociálně demokratická
15,6,8,53,Luděk,Štíbr,PaedDr.,,55,středoškolský učitel,Rakovník,541656,53,53,0,4135,9.98,9.98358201748032,0,0,0,0.0,0.0,0,0,,Občanská demokratická strana
16,9,1,1003,Michal,Drabík,,,59,politický vězeň-invalidní důchodce,Plzeň,2,99,1003,0,702,2.23,2.23019982844616,0,0,0,0.0,0.0,0,0,,Alternativa pro Plzeň
17,9,2,47,Karel,Kvit,RSDr. Ing.,,63,bezpečnostní pracovník,Plzeň,2,47,47,0,2820,8.95,8.9589223877752,0,0,0,0.0,0.0,0,0,,Komunistická strana Čech a Moravy
18,9,3,7,Václav,Šimánek,MUDr.,Ph.D.,44,"lékař, náměstek hejtmana pro oblast zdravotnictví",Nezvěstice,558141,7,7,0,6737,21.4,21.4029291228516,2,0,7489,45.73,45.73714425308415,0,0,,Česká strana sociálně demokratická
19,9,4,1,Petr,Rybář,Ing.,,68,"ekonom, starosta Jednoty Orel",Plzeň,2,1,1,0,1597,5.07,5.0735457635734,0,0,0,0.0,0.0,0,0,,Křesťan.a demokrat.unie-Českosl.strana lidová
20,9,5,659,Ladislav,Cabada,doc. PhDr.,Ph.D.,40,"vysokoškolský pedagog, výzkumník",Tlučná,559491,99,721,0,4612,14.65,14.65196810369476,0,0,0,0.0,0.0,0,0,,TOP 09 a Starostové
21,9,6,1092,Lumír,Aschenbrenner,Ing.,,54,starosta Slovan,Plzeň,2,53,53,0,7783,24.72,24.72599040569304,2,0,8885,54.26,54.26285574691584,1,0,,Koalice pro Plzeň
22,9,7,792,Jiřina,Holotová,Bc.,,51,učitelka odborných předmětů,Horní Bělá,558877,99,792,0,1214,3.85,3.85678431870889,0,0,0,0.0,0.0,0,0,,Úsvit přímé demokracie
23,9,8,768,Miloslava,Rutová,Mgr.,,66,speciální pedagog,Plzeň,2,768,768,0,6012,19.09,19.09966006925691,0,0,0,0.0,0.0,0,0,,ANO 2011
24,12,1,659,Martin,Gregora,MUDr.,,49,primář dětského oddělení Nemocnice Strakonice,Strakonice,550787,721,721,0,7903,19.03,19.03970318974655,2,0,8088,48.74,48.74344603145904,0,0,,TOP 09 a Starostové
25,12,2,792,Elvíra,Tomášková,JUDr.,,68,právní poradkyně,Dobrá Voda u Českých Budějovic,535206,99,792,0,766,1.84,1.84542738749156,0,0,0,0.0,0.0,0,0,,Úsvit přímé demokracie
26,12,3,7,Karel,Kratochvíle,Ing.,,56,ředitel Zemského hřebčince Písek,Písek,549240,7,7,0,6800,16.38,16.3823841187241,2,0,8505,51.25,51.25655396854095,1,0,,Česká strana sociálně demokratická
27,12,4,53,Jiří,Mánek,Mgr.,,42,přírodovědec,Čkyně,550167,53,53,0,5802,13.97,13.97802833188782,0,0,0,0.0,0.0,0,0,,Občanská demokratická strana
28,12,5,724,Petr,Martan,,,56,"ředitel obec. prospěšné spol., poradce v lesnictví",Čkyně,550167,724,724,0,1585,3.81,3.81854100414377,0,0,0,0.0,0.0,0,0,,Strana Práv Občanů
29,12,6,1,Robert,Huneš,PhDr.,,45,ředitel hospice,Vodňany,551953,1,1,0,5518,13.29,13.29382287751758,0,0,0,0.0,0.0,0,0,,Křesťan.a demokrat.unie-Českosl.strana lidová
30,12,7,768,Mario,Vlček,,,66,podnikatel,Praha 4,500119,768,768,0,3929,9.46,9.46564517683338,0,0,0,0.0,0.0,0,0,,ANO 2011
31,12,8,714,Václav,Trojan,PhDr.,,60,psycholog,Prachatice,550094,714,714,0,962,2.31,2.31762551797243,0,0,0,0.0,0.0,0,0,,Strana svobodných občanů
32,12,9,1002,Miroslav,Krejča,Ing. Bc.,CSc.,58,senátor Parlamentu ČR,Písek,549240,99,1002,0,2867,6.9,6.90710224535029,0,0,0,0.0,0.0,0,0,,Republika
33,12,10,47,Vítězslava,Baborová,Mgr.,,60,učitelka,Radomyšl,551660,47,47,0,5376,12.95,12.95172015033246,0,0,0,0.0,0.0,0,0,,Komunistická strana Čech a Moravy
34,15,1,7,Milan,Štěch,,,60,předseda Senátu PČR,Lišov,544779,7,7,0,16730,36.29,36.29303425385599,2,0,13269,61.7,61.70766869739106,1,0,,Česká strana sociálně demokratická
35,15,2,53,Josef,Doubek,JUDr.,,60,advokát,Pelhřimov,547492,53,53,0,3603,7.81,7.81612686291949,0,0,0,0.0,0.0,0,0,,Občanská demokratická strana
36,15,3,714,Lubomír,Havránek,,,55,OSVČ,Horní Cerekev,547913,714,714,0,648,1.4,1.40573139249842,0,0,0,0.0,0.0,0,0,,Strana svobodných občanů
37,15,4,779,Zdeňka,Bečková,,,55,starostka města,Červená Řečice,547778,99,779,0,1573,3.41,3.41236956851855,0,0,0,0.0,0.0,0,0,,Starostové pro občany
38,15,5,5,Stanislav,Kovář,,,61,architekt - ekolog,České Budějovice,544256,5,5,0,583,1.26,1.26472438553485,0,0,0,0.0,0.0,0,0,,Strana zelených
39,15,6,1,Tomáš,Křišťan,Ing.,,59,"učitel, soukromý zemědělec",Humpolec,547999,1,1,0,3723,8.07,8.07644749115994,0,0,0,0.0,0.0,0,0,,Křesťan.a demokrat.unie-Českosl.strana lidová
40,15,7,659,Ivo,Jahelka,JUDr.,,60,advokát,Jindřichův Hradec,545881,99,721,0,8023,17.4,17.40460333644271,2,0,8234,38.29,38.29233130260893,0,0,,TOP 09 a Starostové
41,15,8,1006,Miroslav,Lidinský,,,42,prezident České golfové asociace hendikepovaných,Nový Knín,540901,99,1006,0,1301,2.82,2.8223094778402,0,0,0,0.0,0.0,0,0,,Občanská konzervativní strana
42,15,9,47,Radek,Nejezchleb,,,40,revizor Českých drah,Kunžak,546615,47,47,0,3530,7.65,7.65776514740655,0,0,0,0.0,0.0,0,0,,Komunistická strana Čech a Moravy
43,15,10,768,Josef,Fučík,,,59,jednatel,Pelhřimov,547492,99,768,0,6383,13.84,13.84688808382324,0,0,0,0.0,0.0,0,0,,ANO 2011
44,18,1,53,Jiří,Burian,Ing.,,65,starosta,Sedlčany,541281,53,53,0,9146,19.36,19.36440049967182,2,0,9387,53.46,53.4658540752976,1,0,,Občanská demokratická strana
45,18,2,714,Karel,Beneš,MUDr.,,63,lékař,Příbram,539911,714,714,0,2604,5.51,5.5133281107747,0,0,0,0.0,0.0,0,0,,Strana svobodných občanů
46,18,3,659,Václav,Švenda,Mgr.,,40,"učitel, živnostník",Příbram,539911,721,721,0,7694,16.29,16.29014841947026,0,0,0,0.0,0.0,0,0,,TOP 09 a Starostové
47,18,4,7,Josef,Řihák,MVDr.,,55,senátor,Příbram,539911,7,7,0,8926,18.89,18.89860472994431,0,0,0,0.0,0.0,0,0,,Česká strana sociálně demokratická
48,18,5,47,Josef,Hála,RSDr.,,61,starosta městyse Jince,Jince,540404,47,47,0,6542,13.85,13.85107238889712,0,0,0,0.0,0.0,0,0,,Komunistická strana Čech a Moravy
49,18,6,1090,Martin,Bartoš,,,46,"PODNIKATEL, předseda sdruž.OBČANSKÁ INICIATIVA.CZ",Příbram,539911,99,792,0,2387,5.05,5.05388410154347,0,0,0,0.0,0.0,0,0,,OTEVŘENÁ RADNICE s podporou hnutí ÚSVIT
50,18,7,768,Vladimír,Danda,MUDr.,,61,lékař,Příbram,539911,99,768,0,9932,21.02,21.02856174969829,2,0,8170,46.53,46.53414592470239,0,0,,ANO 2011
51,21,1,1002,Dimiter,Petrov,Mgr. Bc.,,49,právník,Praha 5,500143,99,1002,0,79,0.21,0.21858225886779,0,0,0,0.0,0.0,0,0,,Republika
52,21,2,79,Daniel,Solis,,Lic. LL.M.,46,politolog,Praha 5,500143,99,79,0,275,0.76,0.76088760998284,0,0,0,0.0,0.0,0,0,,NE Bruselu - Národní demokracie
53,21,3,792,Karol,Hrádela,JUDr.,,55,"vedoucí katedry práva, advokát",Praha 5,500143,99,792,0,553,1.53,1.53007581207459,0,0,0,0.0,0.0,0,0,,Úsvit přímé demokracie
54,21,4,714,Roman,Kříž,,,46,živnostník,Praha 5,500143,714,714,0,1667,4.61,4.61236234851419,0,0,0,0.0,0.0,0,0,,Strana svobodných občanů
55,21,5,303,Václav,Láska,Mgr.,,40,advokát,Praha,1,99,5,0,10848,30.01,30.01494106579602,2,0,12752,65.08,65.08114728998673,1,0,,Koalice SZ a KDU-ČSL s podporou Pirátů
56,21,6,659,Vladimír,Balaš,doc. JUDr.,CSc.,55,vysokoškolský pedagog,Praha,1,99,166,0,5014,13.87,13.87305627801449,0,0,0,0.0,0.0,0,0,,Starostové a TOP 09
57,21,7,47,Lubomír,Ledl,JUDr.,,62,"jednatel poradenské spol., člen Zastupitelstva HMP",Praha,1,74,47,0,1454,4.02,4.02302030878202,0,0,0,0.0,0.0,0,0,,Komunistická strana Čech a Moravy
58,21,8,768,Věra,Adámková,Doc. MUDr.,CSc.,59,lékařka,Praha 4,500119,99,768,0,5696,15.76,15.76005755077195,0,0,0,0.0,0.0,0,0,,ANO 2011
59,21,9,749,Milan,Jančík,JUDr.,MBA,54,právník,Praha 5,500143,99,749,0,333,0.92,0.92136572408831,0,0,0,0.0,0.0,0,0,,Konzervativní aliance 2014
60,21,10,53,Pavel,Žáček,PhDr.,Ph.D.,45,"historik, vysokoškolský pedagog",Praha,1,99,53,0,6053,16.74,16.7478280117315,2,0,6842,34.91,34.91885271001326,0,0,,Občanská demokratická strana
