pred,prijmeni,jmeno,za,narozeni,pohlavi,umrti
,Śliwka,Karol,,1900-01-01,M,
 ,Adámek,Josef, ,1881-03-25,M,
 ,Adamovský,Antonín, ,1857-04-24,M,12.06.1938
 ,Anděl,Karel, ,1876-11-07,M,14.11.1929
 ,Appelt,Rudolf, ,1900-12-05,M,02.07.1955
 ,Aster,Jaroslav, ,1877-09-07,M,
 ,Axmann,Rudolf, ,1894-06-04,M,
 ,Bábek,Alois, ,1885-06-07,M,
 ,Babel,Kurt, ,1897-10-10,M,
 ,Baeran,Alois, ,1872-05-16,M,
JUDr.,Bacher,František, ,1884-06-16,M,
 ,Barša,Josef, ,1895-01-17,M,
 ,Barták,Václav, ,1881-09-26,M,
 ,Bartel,Hans, ,1886-01-22,M,
JUDr.,Bartošek,Theodor, ,1877-11-04,M,05.09.1954
 ,Žáčková-Batková,Jaromíra, ,1902-01-16,Ž,
 ,Baumgartl,Johann, ,1883-06-15,M,
 ,Bayer,František, ,1885-05-10,M,
 ,Bazala,Štefan, ,1884-12-26,M,
 ,Bečák,Jaroslav, ,1887-05-09,M,
Ing.,Bečka,Bohdan, ,1863-04-14,M,26.07.1940
 ,Bečko,Ján, ,1889-11-16,M,14.04.1972
 ,Bechyně,Rudolf, ,1881-04-06,M,01.01.1948
 ,Benda,Ferdinand, ,1880-10-30,M,09.06.1952
 ,Beneš,Alois, ,1882-03-27,M,
PhDr.,Beneš,Edvard, ,1884-05-28,M,03.09.1948
 ,Beneš,Vojta, ,1878-05-17,M,20.11.1951
 ,Beran,Rudolf, ,1887-12-28,M,28.05.1954
 ,Bergman,Rudolf, ,1876-07-15,M,23.01.1940
 ,Bergmann,Hugo, ,1870-08-19,M,
 ,Beuer,Gustav, ,1893-02-24,M,21.03.1947
 ,Beutel,Franz, ,1887-01-21,M,12.08.1933
 ,Bezděk,Bedřich, ,1876-07-18,M,
 ,Bílek,František, ,1891-03-25,M,
 ,Biňovec,František, ,1875-11-06,M,
 ,Birke,Hubert, ,1892-01-21,M,
 ,Bistřický,Otomar, ,1880-05-27,M,18.03.1949
MUDr.,Blaho,Pavel, ,1867-03-25,M,29.11.1927
 ,Blatny,Fanni, ,1873-03-22,M,
 ,Blažek,Jaroslav, ,1882-05-07,M,
 ,Blažek,Štefan, ,1895-12-15,M,
JUDr.,Bobek,Bedřich, ,1874-11-08,M,
 ,Bobek,Emil, ,1883-01-06,M,
 ,Bobok,Arnold, ,1876-04-09,M,31.10.1924
 ,Böhm,Georg, ,1896-10-26,M,14.02.1947
 ,Böhm,Rudolf, ,1891-08-21,M,
 ,Böhr,Josef, ,1862-11-21,M,
 ,Bolen,Václav, ,1887-02-03,M,17.12.1963
 ,Böllmann,Georg, ,1866-12-13,M,17.05.1933
 ,Borkaňuk,Olexa, ,1901-01-11,M,03.10.1942
 ,Borovszky,Géza, ,1884-04-14,M,
Dr. Ing.,Botto,Ján, ,1876-07-12,M,03.03.1958
 ,Bouška,Jaroslav, ,1879-11-13,M,
 ,Bradáč,Bohumír, ,1881-05-31,M,20.10.1935
 ,Branecký,Jozef, ,1878-03-10,M,
JUDr.,Branžovský,Jiří, ,1898-07-11,M,
Dr. Ing.,Brdlík,Vladislav, ,1879-07-26,M,
 ,Brodecký,Vilém, ,1874-08-01,M,21.01.1950
 ,Bródy,Andrej, ,1895-07-02,M,
 ,Brožík,Karel, ,1881-11-04,M,20.06.1942
 ,Brukner,Jan, ,1891-02-05,M,26.05.1949
JUDr.,Brunar,Heinrich, ,1876-10-05,M,10.06.1933
 ,Bubník,Josef, ,1879-05-14,M,04.07.1957
ThDr.,Buday,Jozef, ,1877-01-28,M,15.11.1939
 ,Budig,Franz, ,1870-03-25,M,
 ,Budig,Max, ,1892-07-04,M,
 ,Burian,Edmund, ,1878-11-18,M,23.11.1935
 ,Buříval,František, ,1868-10-01,M,08.08.1929
MUDr.,Buzek,Jan, ,1874-03-27,M,
 ,Čančara,Jan, ,1872-05-01,M,
 ,Čavojský,Rudolf, ,1901-12-13,M,
 ,Čermak,Karl, ,1881-05-26,M,31.10.1924
 ,Černý,Antonín, ,1881-06-15,M,
,Černý,Jan,,1882-02-21,M,
,Černý,Jan,,1880-04-25,M,
JUDr.,Černý,Josef, ,1885-02-28,M,
 ,Červinka,František, ,1881-10-28,M,
 ,Cibulka,Josef, ,1884-02-29,M,
 ,Čillik,Ján, ,1888-04-17,M,
 ,Čižek,Augustin, ,1877-08-17,M,
 ,Čižinská,Marie, ,1891-08-07,Ž,22.06.1982
JUDr.,Clementis,Vladimír, ,1902-09-20,M,03.12.1952
 ,Coufal,Břetislav, ,1880-11-01,M,12.02.1941
 ,Csomor,Štefan, ,1886-06-14,M,
 ,Čulen,Marek, ,1887-03-08,M,26.12.1957
 ,Čundrlík,Vincenc, ,1873-04-28,M,
 ,Čuřík,Antonín, ,1884-02-11,M,
JUDr.,Czech,Ludwig, ,1870-02-14,M,20.08.1942
JUDr.,Daněk,Ladislav, ,1889-04-22,M,
 ,Danihel,Štefan, ,1885-03-29,M,
 ,Darula,Štefan, ,1888-08-20,M,
 ,David,Josef, ,1884-02-17,M,21.04.1968
 ,Daxer,Jindřich, ,1900-01-01,M,
 ,Dědič,Jakub, ,1883-11-02,M,
 ,Dembovský,Karol, ,1885-09-30,M,
JUDr.,Dérer,Ivan, ,1884-03-02,M,
 ,Deutsch,Marie, ,1882-11-13,M,
 ,Devečka,Andrej, ,1884-12-08,M,
 ,Dietl,Anton, ,1868-10-13,M,05.05.1945
 ,Dlouhý,František, ,1889-02-10,M,
 ,Dobránsky,Ján, ,1869-05-09,M,
JUDr.,Dolanský,Jaromír, ,1895-02-25,M,16.07.1973
JUDr.,Dolanský,Josef, ,1868-01-07,M,30.11.1943
 ,Doležal,Václav, ,1883-07-29,M,
 ,Dölling,Rudolf, ,1902-11-04,M,
PHDr.,Domin,Karel, ,1882-05-04,M,10.06.1953
JUDr.,Dominik,Rudolf, ,1889-10-06,M,
 ,Dorič,Michal, ,1887-05-01,M,21.05.1969
Ing.,Dostálek,Jan, ,1883-04-28,M,
 ,Draxl,Václav, ,1879-01-16,M,
 ,Drobný,Jozef, ,1897-03-25,M,11.01.1959
 ,Drobný,Vladimír, ,1887-02-20,M,
 ,Dubický,Jan, ,1884-11-29,M,
JUDr.,Dufek,Josef, ,1896-05-12,M,
Ing.,Dvořáček,Jan, ,1887-11-12,M,
 ,Dvořák,Josef, ,1887-08-25,M,
 ,Dvořák,Josef, ,1892-09-08,M,
 ,Dyk,Viktor, ,1877-12-31,M,
 ,Eckert,Ernst, ,1885-07-14,M,
PhDr.,Eichholz,Ludwig, ,1903-02-16,M,
 ,Eisenhamr,Theodor, ,1884-07-02,M,
 ,Elstner,Gustav, ,1892-10-15,M,
Dr.,Engliš,Karel, ,1880-08-17,M,13.06.1961
 ,Ertl,Daniel, ,1886-01-02,M,28.10.1962
 ,Ešner,Josef, ,1884-05-21,M,
 ,Esterházy,János, ,1901-03-14,M,08.03.1957
 ,Farbula,Robert, ,1884-07-06,M,
 ,Feczko,Štefan, ,1900-01-01,M,
 ,Fedor,Miklós, ,1874-09-01,M,
,Fedor,Mikuláš,,1900-01-01,M,
ThDr.,Feierfeil,Wenzel, ,1868-02-22,M,
ThDr.PhDr.,Fencik,Štefan, ,1892-10-13,M,
JUDr.,Feyerfeil,Edwin, ,1887-03-31,M,
 ,Fiala,Čeněk, ,1881-10-22,M,
 ,Fischer,Benno, ,1902-03-20,M,
 ,Fischer,Josef, ,1867-09-01,M,
 ,Fischer,Rudolf, ,1880-01-29,M,
 ,Florek,Pavel, ,1895-03-25,M,11.05.1963
JUDr.,Földessy,József, ,1886-08-10,M,
 ,Frank,Karl, ,1898-01-24,M,22.05.1946
PhDr.,Franke,Emil, ,1880-04-03,M,01.12.1939
 ,Freising,Josef, ,1875-09-17,M,
JUDr.,Fritz,Gejza, ,1880-09-19,M,20.02.1957
Ing. Dr.,Fulík,Jan, ,1897-04-18,M,
 ,Fuščič,Vasil, ,1900-12-12,M,
 ,Füssy,Kálmán, ,1878-04-24,M,
JUDr.,Gagatko,Andrej, ,1884-08-24,M,
 ,Gajda,Rudolf, ,1892-02-14,M,15.04.1948
 ,Galovič,Josef, ,1880-10-13,M,
JUDr.,Gáti,József, ,1885-05-02,M,
JUDr.,Gažík,Marek, ,1887-04-18,M,21.09.1947
 ,Geršl,František, ,1877-02-01,M,09.04.1952
 ,Geyer,Josef, ,1889-05-22,M,
 ,Gläsel,Christof, ,1888-01-11,M,12.04.1938
JUDr.,Goldstein,Angelo, ,1889-07-29,M,19.05.1947
 ,Gottwald,Klement, ,1896-11-23,M,14.03.1953
 ,Grebáč-Orlov,Ignác, ,1888-01-25,M,26.04.1957
 ,Gregorovits,Lipót, ,1883-11-04,M,12.12.1957
 ,Greif,Johann, ,1892-05-08,M,
 ,Gruber,Karl, ,1898-03-25,M,
 ,Grünzner,Ernst, ,1873-11-04,M,
JUDr.,Haas,Viktor, ,1882-07-21,M,
 ,Habarta,Štěpán, ,1878-12-26,M,17.03.1939
 ,Habrman,Gustav, ,1864-01-24,M,22.03.1932
 ,Hackenberg,Theodor, ,1873-12-03,M,
 ,Hacker,Gustav, ,1900-09-20,M,03.06.1979
 ,Hadek,Alfred, ,1898-01-10,M,
JUDr.,Hahn,Otto, ,1888-10-05,M,
 ,Haiblick,Karl, ,1893-11-28,M,
PhDr.,Hajn,Antonín, ,1868-07-24,M,26.03.1949
 ,Haken,Josef, ,1880-05-20,M,03.05.1949
MUDr.,Hálek,Ivan, ,1872-11-11,M,17.02.1945
 ,Hálek,Jaroslav, ,1883-12-10,M,
 ,Halke,Otto, ,1882-08-24,M,
Dr.,Halla,Ján, ,1885-04-14,M,26.05.1955
 ,Hampl,Antonín, ,1875-04-12,M,17.05.1942
 ,Hancko,Anton, ,1883-06-05,M,23.08.1967
 ,Haninger,Emanuel, ,1887-12-27,M,
Dr.,Hanreich,Georg, ,1887-07-26,M,06.05.1955
 ,Harus,Jan, ,1892-07-12,M,15.09.1967
 ,Haščík,Štefan, ,1898-11-25,M,
JUDr.,Hassold,Fritz, ,1894-02-09,M,
 ,Hatina,Alois, ,1886-05-09,M,03.09.1950
 ,Haupt,Jakub, ,1883-07-22,M,
,Häusler,Wilhelm,,1900-01-01,M,
 ,Hausmann,Eduard, ,1870-10-30,M,
 ,Hawelka,Rudolf, ,1866-02-08,M,
 ,Heeger,Rudolf, ,1883-04-15,M,
 ,Heller,Franz, ,1878-09-22,M,
 ,Hillebrand,Oswald, ,1879-08-07,M,04.06.1926
 ,Hintermüller,Kašpar, ,1886-01-04,M,
 ,Hirsch,Ernst, ,1874-12-05,M,04.02.1925
 ,Hirschl,Ernst, ,1888-11-01,M,
 ,Hirte,Erich, ,1904-05-17,M,
 ,Hladký,Jaroslav, ,1893-03-21,M,
 ,Hlaváček,Grantišek, ,1886-09-04,M,29.03.1945
Msgre.,Hlinka,Andrej, ,1864-09-27,M,16.08.1938
PhDr.,Hnídek,František, ,1876-11-18,M,03.03.1932
JUDr.,Hodáč,František, ,1883-08-21,M,10.05.1943
dr.h.c.,Hodina,Franz, ,1877-11-30,M,
 ,Hodinová-Spurná,Anežka, ,1895-01-12,Ž,01.04.1963
PhDr.,Hodža,Milan, ,1878-02-01,M,27.06.1944
 ,Hoffmann,Max, ,1878-07-08,M,
 ,Höhnel,Eduard, ,1891-01-26,M,
 ,Hokky,Karoly, ,1883-01-31,M,
 ,Holeček,Vojtěch, ,1891-11-08,M,
MUDr.,Holitscher,Arnold, ,1859-08-07,M,
 ,Hollube,Franz, ,1900-11-22,M,
JUDr.,Holota,János, ,1890-06-26,M,13.10.1958
 ,Honsl,Josef, ,1883-08-25,M,
,Horák,František,,1900-01-01,M,
 ,Horpynka,Otto, ,1883-07-07,M,30.01.1938
 ,Houser,František, ,1864-03-28,M,
Ing.,Hrdina,Oldřich, ,1893-07-15,M,
 ,Hrizbyl,Jan, ,1880-07-17,M,
JUDr.,Hruban,Mořic, ,1862-11-30,M,16.09.1945
 ,Hrubý,Adolf, ,1893-05-21,M,09.06.1951
 ,Hrubý,Josef, ,1899-08-02,M,
 ,Hruška,Čeněk, ,1889-01-17,M,12.12.1965
 ,Hrušovský,Igor, ,1879-02-21,M,24.05.1937
 ,Hudec,Josef, ,1873-05-24,M,27.12.1957
RNDr.PhDr.,Hula,Stanislav, ,1895-03-03,M,
 ,Hummelhans,František, ,1873-12-05,M,25.01.1942
 ,Husnaj,Julius, ,1893-10-11,M,
 ,Hvizdák,Andrej, ,1882-10-28,M,
 ,Hvozdzík,Ján, ,1886-03-31,M,
 ,Hýbner,Václav, ,1873-02-01,M,
 ,Hynek,Jaroslav, ,1891-02-01,M,
 ,Chalupa,Albín, ,1880-02-27,M,
 ,Chalupa,Karel, ,1902-10-31,M,
 ,Chalupa,Rudolf, ,1875-04-24,M,
 ,Chalupník,Josef, ,1884-05-09,M,
PhDr.,Charvát,Vincenc, ,1889-01-13,M,25.01.1947
 ,Chlebounová,Anna, ,1875-12-08,Ž,18.03.1946
 ,Chlouba,František, ,1876-01-06,M,
 ,Chloupek,Antonín, ,1884-06-10,M,
 ,Chmelík,Antonín, ,1891-04-08,M,
 ,Chobot,Emanuel, ,1881-01-01,M,07.06.1944
JUDr.,Chvalkovský,František, ,1885-07-30,M,25.02.1945
 ,Chvojka,Jan, ,1888-01-02,M,
 ,Illing,Josef, ,1895-10-28,M,
 ,Ivák,Ján, ,1889-01-06,M,03.01.1966
JUDr.,Ivanka,Milan, ,1876-10-25,M,26.08.1950
JUDr.,Jabloniczky,Johann, ,1874-09-21,M,
 ,Jäkel,Josef, ,1888-11-26,M,
 ,Jaksch,Wenzel, ,1896-09-25,M,27.11.1966
 ,Janalík,František, ,1883-01-20,M,19.11.1946
 ,Janček,Ján, ,1881-02-13,M,04.10.1933
 ,Janovský,Jakub, ,1876-08-04,M,
 ,Jaroš,Rudolf, ,1869-01-15,M,07.04.1935
 ,Jaross,Andor, ,1896-05-23,M,11.04.1946
 ,Jaša,Václav, ,1886-09-27,M,
 ,Jelinek,Josef, ,1864-01-18,M,22.05.1934
 ,Jenšovský,Alois, ,1883-04-22,M,11.01.1940
 ,Ježek,František, ,1890-09-06,M,29.11.1969
 ,Ježek,František, ,1884-04-28,M,22.06.1925
 ,Jílek,Bohumil, ,1892-10-17,M,03.08.1963
MUDr.,Jilly,Theodor, ,1901-07-28,M,
 ,Jiráček,Antonín, ,1890-04-05,M,15.04.1939
 ,Jobst,Adolf, ,1900-05-10,M,
 ,Johanis,Václav, ,1872-02-26,M,19.06.1939
 ,John,Julius, ,1879-01-13,M,
 ,Jokl,Hans, ,1876-12-15,M,03.02.1935
Ing.,Jung,Rudolf, ,1882-04-16,M,11.12.1945
 ,Juran,Josef, ,1885-02-12,M,26.12.1963
ThDr.,Juriga,Ferdiš, ,1874-10-12,M,23.11.1950
 ,Jurnečková-Vorlová,Marie, ,1894-03-29,Ž,
 ,Kaderka,Alois, ,1889-09-20,M,
JUDr.,Kafka,Bruno, ,1881-09-27,M,12.07.1931
 ,Kaiser,Leonhard, ,1872-10-17,M,
JUDr.,Kalaš,Josef, ,1890-02-01,M,02.06.1933
 ,Kaliňák,Juraj, ,1899-07-13,M,07.08.1980
Ing.,Kallina,Othmar, ,1889-09-10,M,12.05.1945
 ,Kamelský,Jan, ,1891-11-01,M,
JUDr.,Kaminský,Josef, ,1878-11-17,M,
 ,Kaňourek,Antonín, ,1886-08-17,M,11.06.1941
 ,Karlovský,Michal, ,1883-08-12,M,05.04.1955
Ing.,Karmasin,Franz, ,1901-09-02,M,25.06.1970
 ,Karpíšková,Betty, ,1881-06-14,Ž,31.10.1942
 ,Kasík,Emil, ,1875-10-30,M,21.12.1934
 ,Kasper,Rudolf, ,1896-11-29,M,31.01.1947
 ,Katz,Franz, ,1887-09-25,M,
 ,Kaufmann,Franz, ,1876-04-05,M,
JUDr.,Keibl,Josef, ,1874-07-08,M,
 ,Kejmar,Emanuel, ,1871-11-25,M,
JUDr.,Kellner,Adolf, ,1897-05-21,M,
 ,Kendra,František, ,1893-08-14,M,26.03.1976
 ,Kirpal,Irene, ,1886-01-01,M,
 ,Klajban,František, ,1888-07-23,M,08.03.1971
JUDr.,Klapka,Otakar, ,1891-04-27,M,04.10.1941
 ,Klein,Robert, ,1885-07-14,M,25.07.1941
Dr.,Klieber,Guido, ,1898-09-12,M,
 ,Klíma,Emanuel, ,1902-05-17,M,15.02.1941
JUDr.,Klíma,Vlastimil, ,1898-12-10,M,23.12.1987
,Kliment,Augustin,,1900-01-01,M,
 ,Kliment,Gustav, ,1889-08-03,M,22.10.1953
JUDr.,Klimo,Bohuslav, ,1882-04-09,M,
ThDr.,Kmeťko,Karel, ,1875-12-12,M,22.12.1945
 ,Knebort,Vilém, ,1888-02-03,M,
 ,Knejzlík,Josef, ,1878-08-24,M,
 ,Knirsch,Hans, ,1877-09-14,M,07.12.1933
 ,Knöchel,Gustav, ,1898-09-17,M,
 ,Knorre,Richard, ,1900-11-20,M,
 ,Knotek,Václav, ,1889-09-14,M,
JUDr.,Koberg,August, ,1885-08-18,M,
 ,Kočandrle,Josef, ,1890-05-09,M,
 ,Kocsis,Andrej, ,1867-04-18,M,
 ,Koczor,Gyula, ,1890-10-10,M,
 ,Kögler,Franz, ,1891-01-01,M,
 ,Köhler,Anton, ,1888-12-16,M,
 ,Köhler,Bruno, ,1900-07-16,M,21.03.1989
 ,Köhler,Ernst, ,1893-07-06,M,
 ,Köhler,Richard, ,1886-03-13,M,
 ,Kolláriková,Gizela, ,1892-10-24,Ž,24.10.1960
 ,Köllner,Fritz, ,1904-05-05,M,
Ing.,Konečný,Josef, ,1882-03-21,M,
 ,Kopasz,Jozef, ,1889-11-04,M,11.01.1947
 ,Kopecký,Václav, ,1897-08-27,M,05.08.1961
 ,Kopřiva,František, ,1879-07-26,M,
,Kopřiva,Ladislav,,1900-01-01,M,
 ,Korláth,Endre, ,1881-03-10,M,
 ,Körmendy-Ékes,Lájos, ,1876-12-14,M,
 ,Košek,Václav, ,1878-01-05,M,
 ,Kosik,István, ,1896-03-29,M,
JUDr.,Kossey,Pavel, ,1896-07-11,M,
 ,Kostka,Karl, ,1870-05-05,M,23.07.1957
 ,Koudelka,Jan, ,1889-03-12,M,29.07.1942
 ,Koutný,Tomáš, ,1879-04-02,M,07.02.1958
 ,Kovačič,Desider, ,1875-01-30,M,
PhDr.,Kozák,Jan, ,1888-08-04,M,09.01.1974
Ing.,Králíček,Stanislaus, ,1896-06-26,M,07.05.1945
JUDr.,Králík,František, ,1890-05-11,M,
JUDr.,Kramář,Karel, ,1860-12-27,M,26.05.1937
,Kraus,Josef,,1900-01-01,M,
 ,Kraus,Vinzenz, ,1865-10-18,M,25.03.1926
 ,Krebs,Hans, ,1888-04-26,M,15.02.1947
 ,Krehan,Hermann, ,1896-12-24,M,
 ,Kreibich,Karl, ,1883-12-14,M,02.08.1966
 ,Krejčí,Franz, ,1878-12-07,M,
 ,Krejčí,Jan, ,1883-03-07,M,
 ,Krejčí,Jiří, ,1876-04-22,M,
 ,Křemen,Adolf, ,1886-04-10,M,19.03.1939
 ,Kremser,Heinrich, ,1878-06-14,M,
 ,Křepek,Franz, ,1855-01-15,M,28.04.1936
 ,Kříž,Alois, ,1881-03-13,M,13.03.1945
 ,Kříž,Josef, ,1878-03-09,M,
 ,Krosnář,Josef, ,1891-10-19,M,25.12.1968
 ,Kršiak,Matej, ,1888-02-18,M,24.01.1977
 ,Krumpe,Hans, ,1885-10-07,M,
 ,Kubač,František, ,1887-12-02,M,15.06.1958
 ,Kubál,Andrej, ,1880-04-19,M,06.10.1957
JUDr.,Kubíček,Josef, ,1888-07-08,M,
 ,Kubicsko,Michal, ,1893-07-20,M,
JUDr.,Kubiš,Robert, ,1889-05-28,M,16.08.1953
 ,Kučera,Felix, ,1892-11-26,M,
 ,Kučera,Jaroslav, ,1884-11-26,M,13.06.1945
 ,Kučera,Ladislav, ,1881-06-26,M,
PhDr.,Kugel,Chaim, ,1896-03-25,M,
 ,Kuhnová,Elvira, ,1895-07-06,Ž,
 ,Kundt,Ernst, ,1897-04-15,M,15.02.1947
 ,Kunst,Robert, ,1885-04-28,M,04.12.1974
 ,Kunz,Alois, ,1877-08-14,M,
 ,Kunz,Lothar, ,1892-12-01,M,
Ing.,Künzel,Franz, ,1900-03-03,M,
 ,Kürbel,Josef, ,1905-03-25,M,
 ,Kurťak,Ivan, ,1888-02-21,M,02.01.1933
 ,Kut,Karel, ,1902-09-04,M,30.10.1961
 ,Kvasnička,Josef, ,1888-12-25,M,
 ,Kyncl,František, ,1873-08-30,M,12.05.1933
JUDr.,Labaj,Ludevít, ,1886-04-11,M,12.04.1937
 ,Lanc,Josef, ,1888-08-10,M,
 ,Landová-Štychová,Luisa, ,1885-01-31,Ž,31.08.1969
 ,Langer,Alois, ,1893-01-25,M,10.04.1945
 ,Langr,František, ,1881-05-31,M,06.01.1948
 ,Laube,Rudolf, ,1878-11-03,M,
 ,Laušman,Bohumil, ,1903-08-30,M,09.05.1963
dr.,Lehnert,Wenzel, ,1871-04-18,M,
 ,Lehocký,Emanuel, ,1876-01-04,M,24.09.1930
 ,Leibl,Dominik, ,1869-04-01,M,
JUDr.,Lelley,Jenö, ,1870-03-03,M,
 ,Liebl,Otto, ,1903-12-08,M,
,Lichner,Ján,,1900-01-01,M,
 ,Lischka,Adolf, ,1897-02-16,M,
 ,Líška,Ján, ,1895-06-04,M,28.11.1959
JUDr.,Lodgman,Rudolf, ,1877-12-21,M,11.12.1962
 ,Lokota,Ivan, ,1884-06-03,M,22.11.1942
Dr.Ing.doc,Lokscha,Hans, ,1895-02-25,M,
 ,Longa,Martin, ,1882-10-16,M,23.12.1959
 ,Löwa,Eduard, ,1868-08-30,M,
 ,Luka,Josef, ,1886-03-14,M,24.01.1957
PhDr.,Lukáč,Emil, ,1900-11-01,M,14.09.1979
PhDr.,Lukavský,František, ,1874-10-10,M,04.04.1937
JUDr.,Luschka,Felix, ,1885-03-04,M,
 ,Luža,Bohuslav, ,1892-08-16,M,07.05.1945
,Macek,Josef,,1900-01-01,M,
 ,Macek,Pavel, ,1886-06-20,M,07.04.1970
 ,Macoun,Franz, ,1881-09-07,M,
 ,Mach,Jakub, ,1880-09-21,M,
