pred,prijmeni,jmeno,za,narozeni,pohlavi,umrti
 ,Benda,Marek, ,1968-11-10,M,
Ing.,Brožík,František, ,1955-03-04,M,
JUDr.,Buzková,Petra, ,1965-12-07,Ž,
PaedDr.,Čelišová,Květoslava, ,1946-04-11,Ž,
RNDr.,Exner,Václav,CSc.,1942-09-20,M,
 ,Frank,Václav, ,1944-04-01,M,
JUDr.,Gross,Stanislav, ,1969-10-30,M,15.04.2015
MUDr.,Janeček,Josef, ,1952-12-12,M,
JUDr. Ing.,Karas,Jiří, ,1942-07-30,M,
Ing.,Kasal,Jan, ,1951-11-06,M,
Ing.,Klas,Jan, ,1958-04-03,M,
Mgr. Ing.,Kraus,Michal,"Ph.D., MBA",1957-10-01,M,
Ing.,Mandík,Josef, ,1945-12-04,M,
JUDr.,Marvanová,Hana, ,1962-11-26,Ž,
Mgr.,Nájemník,Václav, ,1944-07-03,M,
RNDr.,Nečas,Petr, ,1964-11-19,M,
Ing.,Orgoníková,Hana, ,1946-12-08,Ž,05.06.2014
Ing.,Palas,Jaroslav, ,1952-10-02,M,
RSDr. Ing.,Recman,Svatomír, ,1952-12-29,M,
Bc.,Severa,Pavel, ,1965-05-06,M,
Ing.,Tlustý,Vlastimil,CSc.,1955-09-19,M,
JUDr.,Výborný,Miloslav, ,1952-02-19,M,
Mgr.,Zeman,Eduard, ,1948-04-11,M,
Ing.,Brynychová,Ludmila, ,1952-11-27,Ž,
 ,Dostál,Pavel, ,1943-02-25,M,24.07.2005
Ing.,Ekert,Milan, ,1965-03-02,M,
doc. MUDr.,Emmerová,Milada,CSc.,1944-11-04,Ž,
Ing.,Hojdar,Josef, ,1946-10-16,M,
prof.JUDr.,Jičínský,Zdeněk,DrSc.,1929-02-26,M,
 ,Kapoun,Miroslav, ,1945-08-03,M,
 ,Kopecký,Robert, ,1952-04-18,M,25.03.2010
JUDr.,Kupčová,Jitka, ,1952-12-05,Ž,
Ing.,Laštůvka,Vladimír, ,1943-06-08,M,
Ing.,Macháček,Antonín, ,1951-06-05,M,
Ing.,Melčák,Miloš,CSc.,1939-04-19,M,
Ing.,Schling,Jaromír, ,1946-06-21,M,
Ing.,Skopal,Ladislav, ,1958-09-25,M,
 ,Snítilý,Evžen, ,1954-05-02,M,
Mgr.,Sobotka,Bohuslav, ,1971-10-23,M,
Ing.,Škromach,Zdeněk, ,1956-12-31,M,
PhDr.,Špidla,Vladimír, ,1951-04-22,M,
Ing.,Šulák,Petr, ,1944-05-02,M,
 ,Teplík,Tomáš, ,1974-05-08,M,
Doc.Ing.,Titz,Miloš,CSc.,1939-06-01,M,
Ing.,Tomíček,Rudolf, ,1948-03-17,M,
Mgr.,Turek,Radim, ,1970-11-27,M,
Ing.,Václavek,Jiří, ,1942-03-23,M,18.03.2010
Ing.,Vlček,Miloslav, ,1961-02-01,M,
PhDr.,Zaorálek,Lubomír, ,1956-09-06,M,
Mgr.,Horníková,Zdeňka, ,1952-12-06,Ž,
Prof. Ing.,Klaus,Václav,CSc.,1941-06-19,M,
MUDr. Mgr.,Langer,Ivan, ,1967-01-01,M,
Ing.,Papež,Jiří, ,1965-10-20,M,
MVDr.,Pešán,Jaroslav, ,1946-10-02,M,
Ing.,Plachý,Jaroslav, ,1952-03-04,M,
Mgr.,Pleva,Petr, ,1959-06-13,M,
Ing.,Sehoř,Karel, ,1951-07-19,M,
Mgr.,Vidím,Jan, ,1964-06-25,M,
Mgr.,Vojíř,Oldřich,Ph.D.,1961-08-13,M,
Doc.MUDr.,Zvěřina,Jaroslav,CSc.,1942-12-18,M,
RNDr.,Ambrozek,Libor, ,1966-08-02,M,
RNDr.,Holáň,Vilém, ,1938-09-23,M,
Ing.,Šojdrová,Michaela, ,1963-10-28,Ž,
Ing.,Talíř,Jaromír, ,1950-08-09,M,
JUDr.,Filip,Vojtěch, ,1955-01-13,M,
Ing.,Gongol,Jaroslav,CSc.,1937-03-23,M,
doc. PhDr.,Grebeníček,Miroslav,CSc.,1947-03-21,M,
 ,Houzák,Josef, ,1943-11-08,M,19.09.2002
Ing.,Kováčik,Pavel, ,1955-07-02,M,
MUDr.,Maštálka,Jiří, ,1956-01-03,M,
PhDr.,Ransdorf,Miloslav,CSc.,1953-02-15,M,22.01.2016
JUDr.,Bebarová Rujbrová,Zuzka, ,1951-01-13,Ž,
Ing.,Vymětal,Karel, ,1944-11-18,M,
Ing.,Grůza,Jan, ,1957-11-03,M,
 ,Kladívko,Tomáš, ,1957-11-25,M,
JUDr.,Parkanová,Vlasta, ,1951-11-21,Ž,
 ,Aubrecht,Vlastimil, ,1953-12-23,M,
PhDr.,Bartoš,Walter,"Ph.D., MBA",1961-04-23,M,
Ing.,Beneš,Miroslav, ,1956-04-05,M,
 ,Bílý,Jiří, ,1954-01-22,M,
 ,Boháčková,Jarmila, ,1947-07-18,Ž,09.06.2005
MUDr.,Cabrnoch,Milan, ,1962-08-06,M,
 ,Černý,Karel, ,1965-01-12,M,
 ,Doktor,Michal, ,1967-10-02,M,
Ing.,Doležal,Vladimír, ,1965-04-30,M,
 ,Dostálová,Kateřina, ,1964-03-20,Ž,
