pred,prijmeni,jmeno,za,narozeni,pohlavi,umrti
doc. JUDr.,Pithart,Petr, ,1941-01-02,M,
Ing.,Šimonovský,Milan, ,1949-02-17,M,
MUDr.,Julínek,Tomáš, ,1956-11-07,M,
 ,Schwarzenberg,Karel, ,1937-12-10,M,
Mgr.,Jehlička,Václav, ,1948-03-24,M,
Ing.,Smutný,Petr, ,1900-01-01,M,
Mgr.,Eybert,Pavel, ,1900-01-01,M,
PhDr.,Pospíšil,Jiří, ,1900-01-01,M,
 ,Štěch,Milan, ,1900-01-01,M,
RNDr.,Palečková,Alena, ,1900-01-01,Z,
 ,Pavlata,Josef, ,1900-01-01,M,
MUDr.,Svoboda,Ladislav, ,1900-01-01,M,
MUDr.,Sobotka,Přemysl, ,1900-01-01,M,
MVDr.,Liška,Jiří, ,1900-01-01,M,
Doc. MUDr.,Barták,Karel,CSc.,1900-01-01,M,
Mgr.,Brýdl,Jiří, ,1900-01-01,M,
MUDr.,Špaček,Milan, ,1900-01-01,M,
Prof. PhDr.,Jařab,Josef,CSc.,1900-01-01,M,
RNDr.,Seitlová,Jitka, ,1900-01-01,Z,
Ing.,Stodůlka,Jiří, ,1900-01-01,M,
 ,Hadrava,Jan, ,1900-01-01,M,
 ,Novák,Alexandr, ,1900-01-01,M,
MUDr.,Sefzig,Luděk, ,1900-01-01,M,
Ing.,Outrata,Edvard, ,1900-01-01,M,
Ing. arch.,Filipiová,Daniela, ,1957-08-09,Z,
Mgr.,Bárta,Zdeněk, ,1900-01-01,M,
 ,Kubera,Jaroslav, ,1900-01-01,M,
Mgr.,Paukrtová,Soňa, ,1900-01-01,Z,
MUDr.,Mitlener,Jaroslav, ,1900-01-01,M,
Ing.,Rögnerová,Helena, ,1900-01-01,Z,
 ,Fejfar,Petr, ,1900-01-01,M,
Ing.,Janata,Pavel, ,1900-01-01,M,
Ing.,Schovánek,Vladimír, ,1900-01-01,M,
Ing.,Kolář,Robert, ,1900-01-01,M,
Ing.,Jílek,Adolf, ,1900-01-01,M,
Ing.,Balabán,Milan, ,1900-01-01,M,
Ing.,Feber,Ondřej, ,1900-01-01,M,
JUDr.,Kubín,Jaroslav, ,1900-01-01,M,
Mgr.,Adamec,Ivan, ,1960-03-21,M,
Ing.,Bárek,Ivo, ,1900-01-01,M,
Ing.,Domšová,Václava, ,1900-01-01,Z,
PaedDr.,Gajdůšková,Alena, ,1900-01-01,Z,
Ing.,Kopecký,František, ,1900-01-01,M,
Mgr.,Macák,Ladislav, ,1900-01-01,M,
 ,Matykiewicz,Eduard, ,1900-01-01,M,
Mgr.,Mejstřík,Martin, ,1900-01-01,M,
Ing.,Novotný,Josef, ,1900-01-01,M,
 ,Pelc,Miloslav, ,1900-01-01,M,
MUDr.,Rakušan,Jan, ,1900-01-01,M,
Prof. Ing.,Roubíček,Václav,CSc.,1900-01-01,M,
MUDr.,Sequens,Richard,Ph.D.,1900-01-01,M,
RNDr.,Škaloud,Miroslav, ,1900-01-01,M,
MUDr.,Tejnora,Karel, ,1900-01-01,M,
Ing.,Vaculík,Josef, ,1900-01-01,M,
MUDr.,Vavroušek,Vítězslav, ,1900-01-01,M,
Ing.,Volný,Jaromír, ,1900-01-01,M,
prof. RNDr.,Zlatuška,Jiří,CSc.,1957-09-15,M,
 ,Zoser,Josef, ,1900-01-01,M,
Ing.,Kalbáč,Josef, ,1900-01-01,M,
 ,Příhoda,František, ,1900-01-01,M,
Ing.,Šneberger,Jiří, ,1900-01-01,M,
Ing.,Horník,Jan, ,1900-01-01,M,
RSDr.,Balín,Vlastimil, ,1900-01-01,M,
Ing.,Jirsa,Tomáš, ,1900-01-01,M,
 ,Oberfalzer,Jiří, ,1900-01-01,M,
 ,Nádvorník,Jan, ,1900-01-01,M,
 ,Štětina,Jaromír, ,1900-01-01,M,
 ,Nedoma,Jiří, ,1900-01-01,M,
MUDr.,Sušický,Pavel, ,1900-01-01,M,
Prof. RNDr.,Moldan,Bedřich,CSc.,1900-01-01,M,
Ing.,Stříteský,Jiří, ,1900-01-01,M,
Ing.,Müllerová,Ludmila, ,1900-01-01,Z,
 ,Sehnal,Vlastimil, ,1900-01-01,M,
Ing.,Slavotínek,Rostislav, ,1900-01-01,M,
Prof. Ing.,Hálek,Jan,CSc.,1943-04-24,M,
 ,Žák,Jiří, ,1900-01-01,M,
Mgr.,Bureš,Milan, ,1900-01-01,M,
Ing. Arch.,Janáčková,Liana, ,1900-01-01,Z,
Ing.,Petrov,Igor, ,1900-01-01,M,
PaedDr.,Janalík,Zdeněk, ,1900-01-01,M,
MUDr.,Venhodová,Alena, ,1900-01-01,Z,
