pred,prijmeni,jmeno,za,narozeni,pohlavi,umrti
Ing.,Bělehrádek,Stanislav, ,1943-12-10,M,
Ing.,Budinský,Vladimír, ,1959-11-25,M,
JUDr.,Buzková,Petra, ,1965-12-07,Ž,
MVDr.,Černý,Jan, ,1959-04-23,M,
JUDr.,Gross,Stanislav, ,1969-10-30,M,15.04.2015
PhDr.,Grulich,Václav, ,1932-05-08,M,
JUDr.,Kalvoda,Jan, ,1953-10-30,M,
RNDr.,Lobkowicz,Michal, ,1964-07-20,M,
RNDr.,Nečas,Petr, ,1964-11-19,M,
JUDr.,Novák,Jiří, ,1950-04-11,M,
Ing.,Palas,Jaroslav, ,1952-10-02,M,
MUDr.,Rubáš,Luděk, ,1953-07-16,M,
PhDr.,Stráský,Jan, ,1940-12-24,M,
Ing.,Tlustý,Vlastimil,CSc.,1955-09-19,M,
PhDr.,Volák,Stanislav, ,1947-09-30,M,
JUDr.,Výborný,Miloslav, ,1952-02-19,M,
Mgr.,Zeman,Eduard, ,1948-04-11,M,
 ,Bašta,Jaroslav, ,1948-05-15,M,
 ,Dostál,Pavel, ,1943-02-25,M,24.07.2005
doc. MUDr.,Emmerová,Milada,CSc.,1944-11-04,Ž,
Doc.Ing.,Grégr,Miroslav,CSc.,1929-12-13,M,
Ing.,Schling,Jaromír, ,1946-06-21,M,
Mgr.,Sobotka,Bohuslav, ,1971-10-23,M,
Ing.,Škromach,Zdeněk, ,1956-12-31,M,
PhDr.,Špidla,Vladimír, ,1951-04-22,M,
PhDr.,Zaorálek,Lubomír, ,1956-09-06,M,
Ing.,Zeman,Miloš, ,1944-09-28,M,
Prof. Ing.,Klaus,Václav,CSc.,1941-06-19,M,
Ing.,Kočárník,Ivan,CSc.,1944-11-29,M,
MUDr. Mgr.,Langer,Ivan, ,1967-01-01,M,
Ing.,Pilip,Ivan, ,1963-08-04,M,
 ,Ruml,Jan, ,1953-03-05,M,
Ing.,Vodička,Jindřich, ,1952-07-22,M,
Ing.,Zieleniec,Josef,,1946-04-28,M,
Ing.,Bratinka,Pavel, ,1946-03-14,M,
Ing.,Dlouhý,Vladimír,CSc.,1953-07-31,M,
Ing.,Skalický,Jiří, ,1956-04-26,M,
RNDr.,Ambrozek,Libor, ,1966-08-02,M,
RNDr.,Holáň,Vilém, ,1938-09-23,M,
Ing.,Lux,Josef, ,1956-02-01,M,22.11.1999
Ing.,Talíř,Jaromír, ,1950-08-09,M,
RNDr.,Němec,Igor, ,1959-04-06,M,
JUDr.,Parkanová,Vlasta, ,1951-11-21,Ž,
Ing.,Bendl,Petr, ,1966-01-24,M,
MUDr.,David,Ivan,CSc.,1952-09-24,M,
Ing.,Kalousek,Miroslav, ,1960-12-17,M,
Ing.,Kocourek,Martin, ,1966-12-23,M,
JUDr.,Kühnl,Karel, ,1954-09-12,M,
Ing.Bc.,Kvapil,Tomáš, ,1955-12-18,M,
PhDr.,Mareš,Petr,CSc.,1953-01-15,M,
Mgr.,Martínek,Radko, ,1956-06-06,M,
 ,Mlynář,Vladimír, ,1966-01-15,M,
Ing.,Müllerová,Ludmila, ,1954-09-27,Ž,
JUDr.,Němec,Pavel, ,1971-07-20,M,
JUDr.,Svoboda,Cyril, ,1956-11-24,M,
Ing.,Urban,Milan, ,1958-10-15,M,
Ing.,Dyba,Karel,CSc.,1940-10-21,M,
 ,Tigrid,Pavel, ,1917-10-27,M,01.09.2003
,Benda,František,,1900-01-01,M,
 ,Schneider,Jaromír, ,1940-01-16,M,
Ing.,Říman,Martin, ,1961-05-11,M,
 ,Gruša,Jiří, ,1938-11-10,M,
PhDr.,Šedivý,Jaroslav,CSc.,1929-11-12,M,
RNDr.,Bursík,Martin, ,1959-08-12,M,
MUDr.,Roithová,Zuzana, ,1953-01-30,Ž,
MgA.,Stropnický,Martin, ,1956-12-19,M,
Doc. Mgr.,Sokol,Jan,CSc.,1936-04-18,M,
Prof. Ing.,Moos,Petr,CSc.,1946-02-03,M,
 ,Lánský,Egon, ,1900-01-01,M,26.11.2013
Doc. Ing.,Mertlík,Pavel,CSc.,1961-05-07,M,
JUDr.,Rychetský,Pavel, ,1943-08-17,M,
Mgr.,Svoboda,Ivo, ,1948-04-06,M,
 ,Kavan,Jan, ,1946-10-17,M,
RNDr.,Vetchý,Vladimír,CSc.,1949-05-08,M,
prof. Ing.,Císař,Jaromír,CSc.,1929-09-05,M,
Ing.,Fencl,Jan, ,1942-06-12,M,
RNDr.,Kužvart,Miloš, ,1960-11-20,M,
JUDr.,Motejl,Otakar, ,1932-09-10,M,09.05.2010
Doc. Ing.,Peltrám,Antonín,CSc.,1930-11-03,M,
Mgr.,Dienstbier,Jiří, ,1969-05-27,M,
Mgr.,Gandalovič,Petr, ,1964-08-15,M,
 ,Kocáb,Michael, ,1954-07-28,M,
Prof.MUDr.,Fišer,Bohumil,CSc.,1943-10-22,M,21.03.2011
Ing.,Rusnok,Jiří, ,1960-10-16,M,
Ing.,Březina,Karel, ,1972-11-25,M,
Ing.,Lachnit,Petr,CSc.,1949-12-30,M,
JUDr.,Bureš,Jaroslav, ,1954-05-08,M,
Ing.,Tvrdík,Jaroslav, ,1968-09-11,M,
Ing.,Mládek,Jan,CSc.,1960-06-01,M,
JUDr.,Pospíšil,Jiří, ,1975-11-24,M,
Ing.,Zgarba,Petr, ,1959-09-18,M,
MUDr.,Kubinyi,Jozef,Ph.D.,1955-07-21,M,
Ing.,Šimonovský,Milan, ,1949-02-17,M,
MUDr.,Součková,Marie, ,1953-07-31,Ž,
Ing.,Kostelka,Miroslav, ,1951-01-31,M,
JUDr.,Čermák,Karel, ,1934-09-13,M,
Ing.,Jahn,Martin, ,1970-01-21,M,
Mgr.,Bublan,František, ,1951-01-13,M,
Ing.,Paroubek,Jiří, ,1952-08-21,M,
Ing.,Bérová,Dana, ,1967-04-25,Ž,
JUDr.,Zářecký,Pavel,CSc.,1940-04-21,M,
Ing.,Koníček,František, ,1953-05-17,M,
Mgr.,Jandák,Vítězslav, ,1947-08-03,M,
MUDr.,Rath,David, ,1965-12-25,M,
Mgr.,Liška,Ondřej, ,1977-07-14,M,
Ing.,Řebíček,Aleš, ,1967-04-14,M,
Ing.,Topolánek,Mirek, ,1956-05-15,M,
RNDr.,Vondra,Alexandr, ,1961-08-17,M,
MVDr.,Vicenová,Milena, ,1955-08-12,Ž,
PhDr.,Kopicová,Miroslava, ,1951-10-03,Ž,
Mgr.,Štěpánek,Martin, ,1947-01-11,M,16.09.2010
MUDr.,Julínek,Tomáš, ,1956-11-07,M,
